HGNC_symbol	HGNC_ensembl_gene_id	MGI_symbol	MGI_ensembl_gene_id
1	IGHV2-70	ENSG00000274576	Ighv8-6	ENSMUSG00000094505
2	ELOC	ENSG00000154582	Eloc	ENSMUSG00000079658
3	WNT16	ENSG00000002745	Wnt16	ENSMUSG00000029671
4	PPP1R42	ENSG00000178125	Ppp1r42	ENSMUSG00000025916
5	PPP1R14C	ENSG00000198729	Ppp1r14c	ENSMUSG00000040653
6	CDC42EP5	ENSG00000167617	Cdc42ep5	ENSMUSG00000063838
7	TCF24	ENSG00000261787	Tcf24	ENSMUSG00000099032
8	TPP2	ENSG00000134900	Tpp2	ENSMUSG00000041763
9	PRPS1L1	ENSG00000229937	Prps1l1	ENSMUSG00000092305
10	HDAC2	ENSG00000196591	Hdac2	ENSMUSG00000019777
11	IGHV2-26	ENSG00000211951	Ighv8-6	ENSMUSG00000094505
12	NTSR2	ENSG00000169006	Ntsr2	ENSMUSG00000020591
13	HYAL4	ENSG00000106302	Hyal4	ENSMUSG00000029680
14	ADHFE1	ENSG00000147576	Adhfe1	ENSMUSG00000025911
15	GEMIN6	ENSG00000152147	Gemin6	ENSMUSG00000055760
16	L3MBTL2	ENSG00000100395	L3mbtl2	ENSMUSG00000022394
17	IYD	ENSG00000009765	Iyd	ENSMUSG00000019762
18	IGHV2-5	ENSG00000211937	Ighv8-6	ENSMUSG00000094505
19	CHADL	ENSG00000100399	Chadl	ENSMUSG00000063765
20	CLDN11	ENSG00000013297	Cldn11	ENSMUSG00000037625
21	FAM110C	ENSG00000184731	Fam110c	ENSMUSG00000036136
22	ZSWIM7	ENSG00000214941	Zswim7	ENSMUSG00000014243
23	IGHV2OR16-5	ENSG00000259303	Ighv8-6	ENSMUSG00000094505
24	CYP7B1	ENSG00000172817	Cyp7b1	ENSMUSG00000039519
25	RNF215	ENSG00000099999	Rnf215	ENSMUSG00000003581
26	C8orf46	ENSG00000169085	3110035E14Rik	ENSMUSG00000067879
27		ENSG00000211974	Ighv8-6	ENSMUSG00000094505
28	ZFY	ENSG00000067646	Zfy1	ENSMUSG00000053211
29	EIF1AY	ENSG00000198692	Gm8300	ENSMUSG00000079034
30	BCL11A	ENSG00000119866	Bcl11a	ENSMUSG00000000861
31	NPAS1	ENSG00000130751	Npas1	ENSMUSG00000001988
32	PAQR8	ENSG00000170915	Paqr8	ENSMUSG00000025931
33	PCDH18	ENSG00000189184	Pcdh18	ENSMUSG00000037892
