HGNC_symbol	HGNC_ensembl_gene_id	MGI_symbol	MGI_ensembl_gene_id
1	FSD2	ENSG00000186628	Fsd2	ENSMUSG00000038663
2	ECHDC3	ENSG00000134463	Echdc3	ENSMUSG00000039063
3	IGLV4-60	ENSG00000211639	Iglv3	ENSMUSG00000076939
4	SMYD5	ENSG00000135632	Smyd5	ENSMUSG00000033706
5	TRIM61	ENSG00000183439	Trim61	ENSMUSG00000109718
6	CC2D2A	ENSG00000048342	Cc2d2a	ENSMUSG00000039765
7	GFOD2	ENSG00000141098	Gfod2	ENSMUSG00000013150
8	STC2	ENSG00000113739	Stc2	ENSMUSG00000020303
9		ENSG00000285880	Adrb3	ENSMUSG00000031489
10	RLBP1	ENSG00000140522	Rlbp1	ENSMUSG00000039194
11		ENSG00000261915	Neurl4	ENSMUSG00000047284
12	IBA57	ENSG00000181873	Iba57	ENSMUSG00000049287
13	IGLV4-69	ENSG00000211637	Iglv3	ENSMUSG00000076939
14	DCAF15	ENSG00000132017	Dcaf15	ENSMUSG00000037103
15	FKBP1B	ENSG00000119782	Fkbp1b	ENSMUSG00000020635
16	MBD2	ENSG00000134046	Mbd2	ENSMUSG00000024513
17	THEMIS	ENSG00000172673	Themis	ENSMUSG00000049109
18	TAPBPL	ENSG00000139192	Tapbpl	ENSMUSG00000038213
19	ARHGAP24	ENSG00000138639	Arhgap24	ENSMUSG00000057315
20	TRIM60	ENSG00000176979	Trim60	ENSMUSG00000053490
21	RELN	ENSG00000189056	Reln	ENSMUSG00000042453
22	SLC25A4	ENSG00000151729	Slc25a4	ENSMUSG00000031633
23	OR5B3	ENSG00000172769	Olfr1446	ENSMUSG00000057817
24	OR5B3	ENSG00000172769	Olfr1447	ENSMUSG00000060303
25	HDHD3	ENSG00000119431	Hdhd3	ENSMUSG00000038422
26	MBOAT1	ENSG00000172197	Mboat1	ENSMUSG00000038732
27	REV3L	ENSG00000009413	Rev3l	ENSMUSG00000019841
28	NEURL4	ENSG00000215041	Neurl4	ENSMUSG00000047284
29	GJC2	ENSG00000198835	Gjc2	ENSMUSG00000043448
30	SMO	ENSG00000128602	Smo	ENSMUSG00000001761
31	CFAP73	ENSG00000186710	Cfap73	ENSMUSG00000094282
32	MACC1	ENSG00000183742	Macc1	ENSMUSG00000041886
33	NCS1	ENSG00000107130	Ncs1	ENSMUSG00000062661
34	ADRB3	ENSG00000188778	Adrb3	ENSMUSG00000031489
35	OR2F1	ENSG00000213215	Olfr453	ENSMUSG00000095831
