HGNC_symbol	HGNC_ensembl_gene_id	MGI_symbol	MGI_ensembl_gene_id
1	B3GALNT1	ENSG00000169255	B3galnt1	ENSMUSG00000043300
2	ASIC2	ENSG00000108684	Asic2	ENSMUSG00000020704
3	VN1R5	ENSG00000197617	Vmn1r15	ENSMUSG00000115199
4	DZIP1L	ENSG00000158163	Dzip1l	ENSMUSG00000037784
5	APOE	ENSG00000130203	Apoe	ENSMUSG00000002985
6	PHOSPHO2	ENSG00000144362	Phospho2	ENSMUSG00000027088
7	MRPS18A	ENSG00000096080	Mrps18a	ENSMUSG00000023967
8	DLX6	ENSG00000006377	Dlx6	ENSMUSG00000029754
9	CDK16	ENSG00000102225	Cdk16	ENSMUSG00000031065
10	SDC1	ENSG00000115884	Sdc1	ENSMUSG00000020592
11	MAOA	ENSG00000189221	Maoa	ENSMUSG00000025037
12	SLC22A17	ENSG00000092096	Slc22a17	ENSMUSG00000022199
13	AQP8	ENSG00000103375	Aqp8	ENSMUSG00000030762
14	RACGAP1	ENSG00000161800	Racgap1	ENSMUSG00000023015
15	RSPH9	ENSG00000172426	Rsph9	ENSMUSG00000023966
16	UGT2A1	ENSG00000173610	Ugt2a1	ENSMUSG00000106677
17	CLINT1	ENSG00000113282	Clint1	ENSMUSG00000006169
18	KCNK12	ENSG00000184261	Kcnk12	ENSMUSG00000050138
19	CHRNA7	ENSG00000175344	Chrna7	ENSMUSG00000030525
20	FBP1	ENSG00000165140	Fbp1	ENSMUSG00000069805
21	SH2D2A	ENSG00000027869	Sh2d2a	ENSMUSG00000028071
22	RTN4RL1	ENSG00000185924	Rtn4rl1	ENSMUSG00000045287
23	UGT2A2	ENSG00000271271	Ugt2a2	ENSMUSG00000029268
24	ZCCHC10	ENSG00000155329	Zcchc10	ENSMUSG00000018239
25	AGK	ENSG00000006530	Agk	ENSMUSG00000029916
26	PPARD	ENSG00000112033	Ppard	ENSMUSG00000002250
27	SH3BP4	ENSG00000130147	Sh3bp4	ENSMUSG00000036206
28	OR51F2	ENSG00000176925	Olfr568	ENSMUSG00000073965
29	LGALS1	ENSG00000100097	Lgals1	ENSMUSG00000068220
30	BOLA3	ENSG00000163170	Bola3	ENSMUSG00000045160
31	ZNF516	ENSG00000101493	Zfp516	ENSMUSG00000058881
32	YAE1	ENSG00000241127	Yae1d1	ENSMUSG00000075054
33	VWA2	ENSG00000165816	Vwa2	ENSMUSG00000025082
34	ASXL3	ENSG00000141431	Asxl3	ENSMUSG00000045215
35	ABT1	ENSG00000146109	Abt1	ENSMUSG00000036376
36	ZNF519	ENSG00000175322	Zfp54	ENSMUSG00000023882
37	CHRFAM7A	ENSG00000166664	Chrna7	ENSMUSG00000030525
38	PRKG2	ENSG00000138669	Prkg2	ENSMUSG00000029334
39	AQP12B	ENSG00000185176	Aqp12	ENSMUSG00000045091
40	GABRA3	ENSG00000011677	Gabra3	ENSMUSG00000031343
41	HYKK	ENSG00000188266	Hykk	ENSMUSG00000035878
42	RASSF10	ENSG00000189431	Rassf10	ENSMUSG00000098132
43	NPY2R	ENSG00000185149	Npy2r	ENSMUSG00000028004
44	AQP12A	ENSG00000184945	Aqp12	ENSMUSG00000045091
45	MMP25	ENSG00000008516	Mmp25	ENSMUSG00000023903
46	HERC1	ENSG00000103657	Herc1	ENSMUSG00000038664
47	CNIH1	ENSG00000100528	Cnih1	ENSMUSG00000015759
48	CNPY4	ENSG00000166997	Cnpy4	ENSMUSG00000036968
49	TMCO5A	ENSG00000166069	Tmco5	ENSMUSG00000027355
50	HDAC9	ENSG00000048052	Hdac9	ENSMUSG00000004698
51	FIBP	ENSG00000172500	Fibp	ENSMUSG00000024911
52	HOXB7	ENSG00000260027	Hoxb7	ENSMUSG00000038721
53	DIO2	ENSG00000211448	Dio2	ENSMUSG00000007682
54	POM121L2	ENSG00000158553	Pom121l2	ENSMUSG00000016982
55	PAX2	ENSG00000075891	Pax2	ENSMUSG00000004231
56	SYCP3	ENSG00000139351	Gm28102	ENSMUSG00000101915
57	MRPL30	ENSG00000185414	Mrpl30	ENSMUSG00000026087
58	F12	ENSG00000131187	F12	ENSMUSG00000021492
59	ELOVL5	ENSG00000012660	Elovl5	ENSMUSG00000032349
60	ALPP	ENSG00000163283	Alppl2	ENSMUSG00000026246
61	OXSM	ENSG00000151093	Oxsm	ENSMUSG00000021786
62	SPATA22	ENSG00000141255	Gm49340	ENSMUSG00000069825
63	SPATA22	ENSG00000141255	Spata22	ENSMUSG00000112920
64	IGHV2-5	ENSG00000211937	Ighv8-2	ENSMUSG00000102301
65	ATP6AP1	ENSG00000071553	Atp6ap1	ENSMUSG00000019087
66	JCAD	ENSG00000165757	Jcad	ENSMUSG00000033960
67	GJA3	ENSG00000121743	Gja3	ENSMUSG00000048582
68	IGHV2-26	ENSG00000211951	Ighv8-2	ENSMUSG00000102301
69	CENPW	ENSG00000203760	Cenpw	ENSMUSG00000075266
70	AFG1L	ENSG00000135537	Afg1l	ENSMUSG00000038302
71	IGHV2OR16-5	ENSG00000259303	Ighv8-2	ENSMUSG00000102301
72	IGFBP3	ENSG00000146674	Igfbp3	ENSMUSG00000020427
73	GNB4	ENSG00000114450	Gnb4	ENSMUSG00000027669
74	AMOTL2	ENSG00000114019	Amotl2	ENSMUSG00000032531
75	VN1R5	ENSG00000197617	Vmn1r16	ENSMUSG00000115792
76	VN1R5	ENSG00000197617	Vmn1r17	ENSMUSG00000115644
77	MYO7B	ENSG00000169994	Myo7b	ENSMUSG00000024388
78	AOAH	ENSG00000136250	Aoah	ENSMUSG00000021322
79	BLOC1S4	ENSG00000186222	Bloc1s4	ENSMUSG00000060708
80	IGHV2-70	ENSG00000274576	Ighv8-2	ENSMUSG00000102301
81	NLRP12	ENSG00000142405	Nlrp12	ENSMUSG00000078817
82	NMD3	ENSG00000169251	Nmd3	ENSMUSG00000027787
83	USP46	ENSG00000109189	Usp46	ENSMUSG00000054814
84		ENSG00000241962	Mrpl30	ENSMUSG00000026087
85	LEPR	ENSG00000116678	Lepr	ENSMUSG00000057722
86	MAP4	ENSG00000047849	Map4	ENSMUSG00000032479
87	ALPI	ENSG00000163295	Alppl2	ENSMUSG00000026246
88	PLAU	ENSG00000122861	Plau	ENSMUSG00000021822
89	IZUMO1R	ENSG00000183560	Izumo1r	ENSMUSG00000031933
90	PENK	ENSG00000181195	Penk	ENSMUSG00000045573
91	UGT2A1	ENSG00000173610	Gm43638	ENSMUSG00000107180
92	GANAB	ENSG00000089597	Ganab	ENSMUSG00000071650
93	ARL5A	ENSG00000162980	Arl5a	ENSMUSG00000036093
94	JDP2	ENSG00000140044	Jdp2	ENSMUSG00000034271
95	IGHV2-70D	ENSG00000211974	Ighv8-2	ENSMUSG00000102301
96	RNF185	ENSG00000138942	Rnf185	ENSMUSG00000020448
97	REN	ENSG00000143839	Ren1	ENSMUSG00000070645
98	HECTD4	ENSG00000173064	Hectd4	ENSMUSG00000042744
99	SLC6A19	ENSG00000174358	Slc6a19	ENSMUSG00000021565
100	VDR	ENSG00000111424	Vdr	ENSMUSG00000022479
101	NGLY1	ENSG00000151092	Ngly1	ENSMUSG00000021785
102	ALPG	ENSG00000163286	Alppl2	ENSMUSG00000026246
103	SLC9A4	ENSG00000180251	Slc9a4	ENSMUSG00000026065
104	BRDT	ENSG00000137948	Brdt	ENSMUSG00000029279
105		ENSG00000170846	Mrfap1	ENSMUSG00000055302
106	GAL3ST2	ENSG00000154252	Gal3st2c	ENSMUSG00000073608
107	AFF4	ENSG00000072364	Aff4	ENSMUSG00000049470
108	TARS	ENSG00000113407	Tars	ENSMUSG00000022241
109	BTN1A1	ENSG00000124557	Btn1a1	ENSMUSG00000000706
110	EXOC4	ENSG00000131558	Exoc4	ENSMUSG00000029763
111	TEX10	ENSG00000136891	Tex10	ENSMUSG00000028345
112	USP22	ENSG00000124422	Usp22	ENSMUSG00000042506
113	PPP1R14B	ENSG00000173457	4933415F23Rik	ENSMUSG00000073730
114	CTSW	ENSG00000172543	Ctsw	ENSMUSG00000024910
115	SPATA19	ENSG00000166118	Spata19	ENSMUSG00000031991
116	ATP6AP1L	ENSG00000205464	Atp6ap1l	ENSMUSG00000078958
117	RCL1	ENSG00000120158	Rcl1	ENSMUSG00000024785
118	ZKSCAN2	ENSG00000155592	Zkscan2	ENSMUSG00000030757
119	VN1R5	ENSG00000197617	Vmn1r18	ENSMUSG00000091382
120	VN1R5	ENSG00000197617	Vmn1r19	ENSMUSG00000115799
121	GPHN	ENSG00000171723	Gphn	ENSMUSG00000047454
122	ABO	ENSG00000175164	Abo	ENSMUSG00000015787
123	MREG	ENSG00000118242	Mreg	ENSMUSG00000039395
124	KIF2A	ENSG00000068796	Kif2a	ENSMUSG00000021693
125	TREX1	ENSG00000213689	Trex1	ENSMUSG00000049734
126	DTD2	ENSG00000129480	Dtd2	ENSMUSG00000020956
