HGNC_symbol	HGNC_ensembl_gene_id	MGI_symbol	MGI_ensembl_gene_id
1	RARRES1	ENSG00000118849	Rarres1	ENSMUSG00000049404
2	MMADHC	ENSG00000168288	Mmadhc	ENSMUSG00000026766
3	MGAT3	ENSG00000128268	Mgat3	ENSMUSG00000042428
4	OBP2B	ENSG00000171102	Lcn4	ENSMUSG00000026919
5	POU3F1	ENSG00000185668	Pou3f1	ENSMUSG00000090125
6	FUK	ENSG00000157353	Fuk	ENSMUSG00000033703
7	KRTAP5-2	ENSG00000205867	Krtap5-1	ENSMUSG00000066100
8	KRTAP5-2	ENSG00000205867	Krtap5-4	ENSMUSG00000045236
9	DBP	ENSG00000105516	Dbp	ENSMUSG00000059824
10	OBP2A	ENSG00000122136	Lcn4	ENSMUSG00000026919
11	CFP	ENSG00000126759	Cfp	ENSMUSG00000001128
12	OMP	ENSG00000254550	Omp	ENSMUSG00000074006
13	ZNF853	ENSG00000236609	Zfp853	ENSMUSG00000093910
14	HORMAD1	ENSG00000143452	Hormad1	ENSMUSG00000028109
15	NCOR2	ENSG00000196498	Ncor2	ENSMUSG00000029478
16	SYCP3	ENSG00000139351	Gm20855	ENSMUSG00000095793
17	NADK	ENSG00000008130	Nadk	ENSMUSG00000029063
18	TM4SF5	ENSG00000142484	Tm4sf5	ENSMUSG00000018919
19	TMEM132C	ENSG00000181234	Tmem132c	ENSMUSG00000034324
20	VPS18	ENSG00000104142	Vps18	ENSMUSG00000034216
21	CLCNKB	ENSG00000184908	Clcnkb	ENSMUSG00000006216
22	PPP1R14B	ENSG00000173457	4933415F23Rik	ENSMUSG00000073730
23	RBMXL1	ENSG00000213516	Gm7324	ENSMUSG00000049235
24	AAMP	ENSG00000127837	Aamp	ENSMUSG00000006299
25	ZC2HC1A	ENSG00000104427	Zc2hc1a	ENSMUSG00000043542
26	C1orf198	ENSG00000119280	2310022B05Rik	ENSMUSG00000031983
27	IGHV7-81	ENSG00000211979	Ighv9-4	ENSMUSG00000094322
28	IGHV7-4-1	ENSG00000282122	Ighv9-4	ENSMUSG00000094322
29	FAM205A	ENSG00000205108	Gm12394	ENSMUSG00000078722
30	FAM205A	ENSG00000205108	Fam205a1	ENSMUSG00000078721
31	IGHV6-1	ENSG00000211933	Ighv3-6	ENSMUSG00000076672
32	BLVRA	ENSG00000106605	Blvra	ENSMUSG00000001999
33	RPS12	ENSG00000112306	Rps12	ENSMUSG00000061983
34	OR51S1	ENSG00000176922	Olfr571	ENSMUSG00000043310
35	IL1B	ENSG00000125538	Il1b	ENSMUSG00000027398
36	IRGM	ENSG00000237693	Igtp	ENSMUSG00000078853
37	IRGM	ENSG00000237693	Irgm2	ENSMUSG00000069874
38	OR4C15	ENSG00000181939	Olfr1225	ENSMUSG00000101918
39	ASB1	ENSG00000065802	Asb1	ENSMUSG00000026311
40	FAM111A	ENSG00000166801	Fam111a	ENSMUSG00000024691
41	SLTM	ENSG00000137776	Sltm	ENSMUSG00000032212
42	SH3RF2	ENSG00000156463	Sh3rf2	ENSMUSG00000057719
43	JAKMIP3	ENSG00000188385	Jakmip3	ENSMUSG00000056856
44	DBX2	ENSG00000185610	Dbx2	ENSMUSG00000045608
45	CCL21	ENSG00000137077	Ccl21a	ENSMUSG00000094686
46	SPHK2	ENSG00000063176	Sphk2	ENSMUSG00000057342
47	EIF3I	ENSG00000084623	Eif3i	ENSMUSG00000028798
