HGNC_symbol	HGNC_ensembl_gene_id	MGI_symbol	MGI_ensembl_gene_id
1	ZNHIT2	ENSG00000174276	Znhit2	ENSMUSG00000075227
2	TRIM60	ENSG00000176979	Trim60	ENSMUSG00000053490
3	CC2D2A	ENSG00000048342	Cc2d2a	ENSMUSG00000039765
4	SYCP3	ENSG00000139351	Gm20897	ENSMUSG00000100892
5	SYCP3	ENSG00000139351	Gm21117	ENSMUSG00000096769
6	SYCP3	ENSG00000139351	Gm35134	ENSMUSG00000103371
7	RNF182	ENSG00000180537	Rnf182	ENSMUSG00000044164
8	TRIM61	ENSG00000183439	Trim61	ENSMUSG00000109718
9	PUS1	ENSG00000177192	Pus1	ENSMUSG00000029507
10	SMO	ENSG00000128602	Smo	ENSMUSG00000001761
11	STC2	ENSG00000113739	Stc2	ENSMUSG00000020303
12	RELN	ENSG00000189056	Reln	ENSMUSG00000042453
13	RLBP1	ENSG00000140522	Rlbp1	ENSMUSG00000039194
14	MBOAT1	ENSG00000172197	Mboat1	ENSMUSG00000038732
15	MBD2	ENSG00000134046	Mbd2	ENSMUSG00000024513
16	NCS1	ENSG00000107130	Ncs1	ENSMUSG00000062661
17	IBA57	ENSG00000181873	Iba57	ENSMUSG00000049287
18		ENSG00000261915	Neurl4	ENSMUSG00000047284
19	SLC25A4	ENSG00000151729	Slc25a4	ENSMUSG00000031633
20	IGLV4-69	ENSG00000211637	Iglv3	ENSMUSG00000076939
21	GFOD2	ENSG00000141098	Gfod2	ENSMUSG00000013150
22	FXR2	ENSG00000129245	Fxr2	ENSMUSG00000018765
23	SNRNP48	ENSG00000168566	Snrnp48	ENSMUSG00000021431
24	FSD2	ENSG00000186628	Fsd2	ENSMUSG00000038663
25	SMYD5	ENSG00000135632	Smyd5	ENSMUSG00000033706
26	OR5B3	ENSG00000172769	Olfr1446	ENSMUSG00000057817
27	OR5B3	ENSG00000172769	Olfr1447	ENSMUSG00000060303
28		ENSG00000285880	Adrb3	ENSMUSG00000031489
29	IGLV4-60	ENSG00000211639	Iglv3	ENSMUSG00000076939
30	ADRB3	ENSG00000188778	Adrb3	ENSMUSG00000031489
31	FBP2	ENSG00000130957	Fbp2	ENSMUSG00000021456
32	GJC2	ENSG00000198835	Gjc2	ENSMUSG00000043448
33	CFAP73	ENSG00000186710	Cfap73	ENSMUSG00000094282
34	ARHGAP24	ENSG00000138639	Arhgap24	ENSMUSG00000057315
35	NUDT14	ENSG00000183828	Nudt14	ENSMUSG00000002804
36	ECHDC3	ENSG00000134463	Echdc3	ENSMUSG00000039063
37	TTC13	ENSG00000143643	Ttc13	ENSMUSG00000037300
38	THEMIS	ENSG00000172673	Themis	ENSMUSG00000049109
39	HDHD3	ENSG00000119431	Hdhd3	ENSMUSG00000038422
40	FKBP1B	ENSG00000119782	Fkbp1b	ENSMUSG00000020635
41	OR2F2	ENSG00000221910	Olfr453	ENSMUSG00000095831
42	TAPBPL	ENSG00000139192	Tapbpl	ENSMUSG00000038213
43	KCNJ14	ENSG00000182324	Kcnj14	ENSMUSG00000058743
44	MACC1	ENSG00000183742	Macc1	ENSMUSG00000041886
45	NEURL4	ENSG00000215041	Neurl4	ENSMUSG00000047284
46	REV3L	ENSG00000009413	Rev3l	ENSMUSG00000019841
47	OR2F1	ENSG00000213215	Olfr453	ENSMUSG00000095831
48	DCAF15	ENSG00000132017	Dcaf15	ENSMUSG00000037103
49	PARPBP	ENSG00000185480	Parpbp	ENSMUSG00000035365
50	PRAMEF9	ENSG00000204505	Gm13103	ENSMUSG00000029451
51	PMCH	ENSG00000183395	Pmch	ENSMUSG00000035383
52	MAGOHB	ENSG00000111196	Magohb	ENSMUSG00000030188
53	LHFPL2	ENSG00000145685	Lhfpl2	ENSMUSG00000045312
54	GMNN	ENSG00000112312	Gmnn	ENSMUSG00000006715
55	DYRK1B	ENSG00000105204	Dyrk1b	ENSMUSG00000002409
56	UBE2W	ENSG00000104343	Ube2w	ENSMUSG00000025939
57	OR5B12	ENSG00000172362	Olfr1448	ENSMUSG00000048456
58	PRAMEF1	ENSG00000116721	Gm13103	ENSMUSG00000029451
59	IQSEC1	ENSG00000144711	Iqsec1	ENSMUSG00000034312
60	CD27	ENSG00000139193	Cd27	ENSMUSG00000030336
61		ENSG00000258677	Ube2w	ENSMUSG00000025939
62	NUDCD2	ENSG00000170584	Nudcd2	ENSMUSG00000020328
63	MBTD1	ENSG00000011258	Mbtd1	ENSMUSG00000059474
64	FXYD3	ENSG00000089356	Fxyd3	ENSMUSG00000057092
65	ZNF23	ENSG00000167377	Zfp612	ENSMUSG00000044676
66	LDAH	ENSG00000118961	Ldah	ENSMUSG00000037669
67	PRAMEF18	ENSG00000279804	Gm13103	ENSMUSG00000029451
68	PRAMEF8	ENSG00000182330	Gm13103	ENSMUSG00000029451
69	PRAMEF13	ENSG00000279169	Gm13103	ENSMUSG00000029451
70	SLC22A16	ENSG00000004809	Slc22a16	ENSMUSG00000019834
