HGNC_symbol	HGNC_ensembl_gene_id	MGI_symbol	MGI_ensembl_gene_id
1	PPP1R3E	ENSG00000235194	Ppp1r3e	ENSMUSG00000072494
2	FAT3	ENSG00000165323	Fat3	ENSMUSG00000074505
3	NINJ1	ENSG00000131669	Ninj1	ENSMUSG00000037966
4	UNC93B1	ENSG00000110057	Unc93b1	ENSMUSG00000036908
5	TMF1	ENSG00000144747	Tmf1	ENSMUSG00000030059
6	RNASE2	ENSG00000169385	Rnase2b	ENSMUSG00000059606
7	NXPH2	ENSG00000144227	Nxph2	ENSMUSG00000069132
8	MAN1C1	ENSG00000117643	Man1c1	ENSMUSG00000037306
9	NDC1	ENSG00000058804	Ndc1	ENSMUSG00000028614
10	OR6C74	ENSG00000197706	Olfr821	ENSMUSG00000044897
11	GJB2	ENSG00000165474	Gjb2	ENSMUSG00000046352
12	SYCP3	ENSG00000139351	Gm2030	ENSMUSG00000083628
13	PLAAT5	ENSG00000168004	Hrasls5	ENSMUSG00000024973
14	OR5T2	ENSG00000181718	Olfr1095	ENSMUSG00000075171
15	KIF24	ENSG00000186638	Kif24	ENSMUSG00000028438
16	RNASE1	ENSG00000129538	Rnase1	ENSMUSG00000035896
17	ZNF792	ENSG00000180884	Zfy1	ENSMUSG00000053211
18	VN1R1	ENSG00000178201	Vmn1r238	ENSMUSG00000091539
19	LBX1	ENSG00000138136	Lbx1	ENSMUSG00000025216
20	ZNF584	ENSG00000171574	Zfy1	ENSMUSG00000053211
21	WWC1	ENSG00000113645	Wwc1	ENSMUSG00000018849
22	ZNF552	ENSG00000178935	Zfy1	ENSMUSG00000053211
23	RNASE3	ENSG00000169397	Rnase2b	ENSMUSG00000059606
24	SASS6	ENSG00000156876	Sass6	ENSMUSG00000027959
25	ALB	ENSG00000163631	Alb	ENSMUSG00000029368
26	TRBV4-2	ENSG00000211745	Trbv5	ENSMUSG00000076465
27	TRBV2	ENSG00000226660	Trbv3	ENSMUSG00000076463
28	RMND5A	ENSG00000153561	Rmnd5a	ENSMUSG00000002222
29	TMTC3	ENSG00000139324	Tmtc3	ENSMUSG00000036676
30	GPR141	ENSG00000187037	Gpr141	ENSMUSG00000053101
31		ENSG00000268133	Zfy1	ENSMUSG00000053211
32	ZNF587B	ENSG00000269343	Zfy1	ENSMUSG00000053211
33	TRBV4-1	ENSG00000211710	Trbv5	ENSMUSG00000076465
