HGNC_symbol	HGNC_ensembl_gene_id	MGI_symbol	MGI_ensembl_gene_id
1	TMEM62	ENSG00000137842	Tmem62	ENSMUSG00000054484
2	OR52B2	ENSG00000255307	Olfr691	ENSMUSG00000043948
3	UPF3B	ENSG00000125351	Upf3b	ENSMUSG00000036572
4	PNISR	ENSG00000132424	Pnisr	ENSMUSG00000028248
5	GALR3	ENSG00000128310	Galr3	ENSMUSG00000114755
6	JADE2	ENSG00000043143	Jade2	ENSMUSG00000020387
7	CLRN2	ENSG00000249581	Clrn2	ENSMUSG00000049530
8	PAK1	ENSG00000149269	Pak1	ENSMUSG00000030774
9	TXNDC17	ENSG00000129235	Txndc17	ENSMUSG00000020803
10	KRTAP29-1	ENSG00000212658	Krtap29-1	ENSMUSG00000078254
11	KIRREL2	ENSG00000126259	Kirrel2	ENSMUSG00000036915
12	ZNRF3	ENSG00000183579	Znrf3	ENSMUSG00000041961
13	PYY	ENSG00000131096	Pyy	ENSMUSG00000017311
14	GCAT	ENSG00000100116	Gcat	ENSMUSG00000006378
15	HKDC1	ENSG00000156510	Hkdc1	ENSMUSG00000020080
16	ASPRV1	ENSG00000244617	Asprv1	ENSMUSG00000033508
17	LRRC10B	ENSG00000204950	Lrrc10b	ENSMUSG00000090291
18	LAG3	ENSG00000089692	Lag3	ENSMUSG00000030124
19	GPR160	ENSG00000173890	Gpr160	ENSMUSG00000037661
20	SELENOT	ENSG00000198843	Selenot	ENSMUSG00000075700
21	FAM83H	ENSG00000180921	Fam83h	ENSMUSG00000046761
22	BDH2	ENSG00000164039	Bdh2	ENSMUSG00000028167
23	OSBPL8	ENSG00000091039	Osbpl8	ENSMUSG00000020189
24	DCTPP1	ENSG00000179958	Dctpp1	ENSMUSG00000042462
25	DNAJC24	ENSG00000170946	Dnajc24	ENSMUSG00000027166
26	SAMD14	ENSG00000167100	Samd14	ENSMUSG00000047181
27	NEK2	ENSG00000117650	Nek2	ENSMUSG00000026622
28	AQP4	ENSG00000171885	Aqp4	ENSMUSG00000024411
29	OR52W1	ENSG00000175485	Olfr692	ENSMUSG00000073906
30	ZFAND4	ENSG00000172671	Zfand4	ENSMUSG00000042213
31	FAM71F1	ENSG00000135248	Fam71f1	ENSMUSG00000039742
32	PERP	ENSG00000112378	Perp	ENSMUSG00000019851
33	FAM174B	ENSG00000185442	Fam174b	ENSMUSG00000078670
