HGNC_symbol	HGNC_ensembl_gene_id	MGI_symbol	MGI_ensembl_gene_id
1	ROPN1L	ENSG00000145491	Ropn1l	ENSMUSG00000022236
2	G6PC	ENSG00000131482	G6pc	ENSMUSG00000078650
3	ACOT1	ENSG00000184227	Acot5	ENSMUSG00000042540
4	OR10A3	ENSG00000170683	Olfr512	ENSMUSG00000056946
5	FAM151B	ENSG00000152380	Fam151b	ENSMUSG00000034334
6	NR4A2	ENSG00000153234	Nr4a2	ENSMUSG00000026826
7	IRF1	ENSG00000125347	Irf1	ENSMUSG00000018899
8	DAB1	ENSG00000173406	Dab1	ENSMUSG00000028519
9	GPRC6A	ENSG00000173612	Gprc6a	ENSMUSG00000019905
10	ADH6	ENSG00000172955	Adh6a	ENSMUSG00000053054
11	C16orf87	ENSG00000155330	4921524J17Rik	ENSMUSG00000036934
12	AP1M2	ENSG00000129354	Ap1m2	ENSMUSG00000003309
13	FAM193A	ENSG00000125386	Fam193a	ENSMUSG00000037210
14	APOL1	ENSG00000100342	Apol10a	ENSMUSG00000050982
15	PLPPR4	ENSG00000117600	Plppr4	ENSMUSG00000044667
16	KRTAP29-1	ENSG00000212658	Krtap29-1	ENSMUSG00000078254
17	CLDN1	ENSG00000163347	Cldn1	ENSMUSG00000022512
18	PDZK1IP1	ENSG00000162366	Pdzk1ip1	ENSMUSG00000028716
19	DNAAF3	ENSG00000167646	Dnaaf3	ENSMUSG00000055809
20	APOL2	ENSG00000128335	Apol10a	ENSMUSG00000050982
21	LRRC42	ENSG00000116212	Lrrc42	ENSMUSG00000028617
22	CYB5A	ENSG00000166347	Cyb5a	ENSMUSG00000024646
23	HSBP1	ENSG00000230989	Hsbp1	ENSMUSG00000031839
24	BDH1	ENSG00000161267	Bdh1	ENSMUSG00000046598
25	ERCC4	ENSG00000175595	Ercc4	ENSMUSG00000022545
26	SLCO5A1	ENSG00000137571	Slco5a1	ENSMUSG00000025938
27	TAC1	ENSG00000006128	Tac1	ENSMUSG00000061762
28	S1PR2	ENSG00000267534	S1pr2	ENSMUSG00000043895
29	OR4C15	ENSG00000181939	Olfr1215	ENSMUSG00000100016
30	APOL4	ENSG00000100336	Apol10a	ENSMUSG00000050982
31	HOXD1	ENSG00000128645	Hoxd1	ENSMUSG00000042448
32	DYRK3	ENSG00000143479	Dyrk3	ENSMUSG00000016526
33	EPS15	ENSG00000085832	Eps15	ENSMUSG00000028552
34	DUSP8	ENSG00000184545	Dusp8	ENSMUSG00000037887
35	HLF	ENSG00000108924	Hlf	ENSMUSG00000003949
36	FCER1A	ENSG00000179639	Fcer1a	ENSMUSG00000005339
37	PARP1	ENSG00000143799	Parp1	ENSMUSG00000026496
38	OR10A6	ENSG00000279000	Olfr512	ENSMUSG00000056946
39	ZNF700	ENSG00000196757	Gm4924	ENSMUSG00000073427
40	BAG2	ENSG00000112208	Bag2	ENSMUSG00000042215
41		ENSG00000267110	Dnaaf3	ENSMUSG00000055809
42	TCF19	ENSG00000137310	Tcf19	ENSMUSG00000050410
43	PRL	ENSG00000172179	Prl3c1	ENSMUSG00000017922
44	CYP2B6	ENSG00000197408	Cyp2b13	ENSMUSG00000040583
45	S100A8	ENSG00000143546	S100a8	ENSMUSG00000056054
46	SLC39A6	ENSG00000141424	Slc39a6	ENSMUSG00000024270
47	BNIP1	ENSG00000113734	Bnip1	ENSMUSG00000024191
48	OR10G3	ENSG00000169208	Olfr1512	ENSMUSG00000094140
49	PRR27	ENSG00000187533	Prr27	ENSMUSG00000002240
50	CNNM3	ENSG00000168763	Cnnm3	ENSMUSG00000001138
51	PGPEP1L	ENSG00000183571	Pgpep1l	ENSMUSG00000030553
52	INSR	ENSG00000171105	Insr	ENSMUSG00000005534
53	ZIK1	ENSG00000171649	Zik1	ENSMUSG00000030393
54	APOL3	ENSG00000128284	Apol10a	ENSMUSG00000050982
55	NOSTRIN	ENSG00000163072	Nostrin	ENSMUSG00000034738
56	ACOT2	ENSG00000119673	Acot5	ENSMUSG00000042540
57	OR5P2	ENSG00000183303	Olfr510	ENSMUSG00000096209
58	WDR86	ENSG00000187260	Wdr86	ENSMUSG00000055235
59	C19orf57	ENSG00000132016	4930432K21Rik	ENSMUSG00000008129
60	KCNJ1	ENSG00000151704	Kcnj1	ENSMUSG00000041248
61	FBXO36	ENSG00000153832	Fbxo36	ENSMUSG00000073633
62	VN1R4	ENSG00000228567	Vmn1r68	ENSMUSG00000047031
63	DSC3	ENSG00000134762	Dsc3	ENSMUSG00000059898
64	NSMCE3	ENSG00000185115	1700020D05Rik	ENSMUSG00000100937
65	TRDC	ENSG00000211829	Trdc	ENSMUSG00000104876
66	CRIP2	ENSG00000182809	Crip2	ENSMUSG00000006356
67	ZFYVE16	ENSG00000039319	Zfyve16	ENSMUSG00000021706
68	FAM169B	ENSG00000283597	Fam169b	ENSMUSG00000074071
69	KPNA4	ENSG00000186432	Kpna4	ENSMUSG00000027782
70	CNBD1	ENSG00000176571	Cnbd1	ENSMUSG00000073991
71	RNASE9	ENSG00000188655	Rnase9	ENSMUSG00000052382
72	KRTAP16-1	ENSG00000212657	Krtap16-1	ENSMUSG00000078253
73	ZBTB38	ENSG00000177311	Zbtb38	ENSMUSG00000040433
74	CLDN11	ENSG00000013297	Cldn11	ENSMUSG00000037625
75	HIST1H3H	ENSG00000278828	Hist1h3g	ENSMUSG00000099517
76	SRCAP	ENSG00000080603	Srcap	ENSMUSG00000053877
77	SOX2	ENSG00000181449	Sox2	ENSMUSG00000074637
78	DDX18	ENSG00000088205	Ddx18	ENSMUSG00000001674
79	EGF	ENSG00000138798	Egf	ENSMUSG00000028017
80	ADRA1D	ENSG00000171873	Adra1d	ENSMUSG00000027335
81	TNNI3	ENSG00000129991	Tnni3	ENSMUSG00000035458
82	OR1E1	ENSG00000180016	Olfr396-ps1	ENSMUSG00000108605
83	ACVR2B	ENSG00000114739	Acvr2b	ENSMUSG00000061393
84	SMCR8	ENSG00000176994	Smcr8	ENSMUSG00000049323
85	CLN8	ENSG00000182372	Cln8	ENSMUSG00000026317
86		ENSG00000283239	Cln8	ENSMUSG00000026317
87	UPRT	ENSG00000094841	Uprt	ENSMUSG00000073016
88	OR52R1	ENSG00000279270	Olfr582	ENSMUSG00000073961
89	CRLF2	ENSG00000205755	Crlf2	ENSMUSG00000033467
90	PTER	ENSG00000165983	Pter	ENSMUSG00000026730
91		ENSG00000263264	A430078G23Rik	ENSMUSG00000074497
92	TYROBP	ENSG00000011600	Tyrobp	ENSMUSG00000030579
93	S100A9	ENSG00000163220	S100a9	ENSMUSG00000056071
94	NDST4	ENSG00000138653	Ndst4	ENSMUSG00000027971
95	SELENOI	ENSG00000138018	Selenoi	ENSMUSG00000075703
96	PCNX1	ENSG00000100731	Pcnx	ENSMUSG00000021140
97	RXRA	ENSG00000186350	Rxra	ENSMUSG00000015846
98	TRDV3	ENSG00000256590	Trdv5	ENSMUSG00000076873
99	XKR4	ENSG00000206579	Xkr4	ENSMUSG00000051951
100	L2HGDH	ENSG00000087299	L2hgdh	ENSMUSG00000020988
101	KCNU1	ENSG00000215262	Kcnu1	ENSMUSG00000031576
102	BPHL	ENSG00000137274	Bphl	ENSMUSG00000038286
103	ATP4A	ENSG00000105675	Atp4a	ENSMUSG00000005553
104	NBEA	ENSG00000172915	Nbea	ENSMUSG00000027799
105		ENSG00000282034	Srcap	ENSMUSG00000053877
106	TRIP12	ENSG00000153827	Trip12	ENSMUSG00000026219
107	OR1E2	ENSG00000127780	Olfr396-ps1	ENSMUSG00000108605
108	C1QL3	ENSG00000165985	C1ql3	ENSMUSG00000049630
109	ARF3	ENSG00000134287	Arf3	ENSMUSG00000051853
110	CADM3	ENSG00000162706	Cadm3	ENSMUSG00000005338
111	STX8	ENSG00000170310	Stx8	ENSMUSG00000020903
112	DCAF8	ENSG00000132716	Dcaf8	ENSMUSG00000026554
113	HHIP	ENSG00000164161	Hhip	ENSMUSG00000064325
114	PIAS3	ENSG00000131788	Pias3	ENSMUSG00000028101
115	GATM	ENSG00000171766	Gatm	ENSMUSG00000027199
116	TRDJ3	ENSG00000211828	Trdj2	ENSMUSG00000076871
117	BAZ1A	ENSG00000198604	Baz1a	ENSMUSG00000035021
118	NUF2	ENSG00000143228	Nuf2	ENSMUSG00000026683
119	DMTN	ENSG00000158856	Dmtn	ENSMUSG00000022099
120	OPRM1	ENSG00000112038	Oprm1	ENSMUSG00000000766
121	HIST1H3B	ENSG00000274267	Hist1h3g	ENSMUSG00000099517
122	RNASEH2C	ENSG00000172922	Rnaseh2c	ENSMUSG00000024925
123	MRPL4	ENSG00000105364	Mrpl4	ENSMUSG00000003299
124		ENSG00000258465	Dcaf8	ENSMUSG00000026554
125	WDCP	ENSG00000163026	Wdcp	ENSMUSG00000051721
126	NUDT17	ENSG00000186364	Nudt17	ENSMUSG00000028100
127	OR10G2	ENSG00000255582	Olfr1511	ENSMUSG00000063867
128	OR10G2	ENSG00000255582	Olfr1510	ENSMUSG00000063106
129	BTC	ENSG00000174808	Btc	ENSMUSG00000082361
130	OR4B1	ENSG00000175619	Olfr1273-ps	ENSMUSG00000080809
131	OR4B1	ENSG00000175619	Olfr1272	ENSMUSG00000075061
132	CHL1	ENSG00000134121	Chl1	ENSMUSG00000030077
133	PSG11	ENSG00000243130	Ceacam2	ENSMUSG00000054385
134		ENSG00000259060	Rnase12	ENSMUSG00000068407
135	ZDHHC15	ENSG00000102383	Zdhhc15	ENSMUSG00000033906
136	EPN1	ENSG00000063245	Epn1	ENSMUSG00000035203
137	PEA15	ENSG00000162734	Pea15a	ENSMUSG00000013698
138	SRCAP	ENSG00000080603	Gm42715	ENSMUSG00000107023
139	SHMT1	ENSG00000176974	Shmt1	ENSMUSG00000020534
140	PSG8	ENSG00000124467	Ceacam2	ENSMUSG00000054385
141	PSG3	ENSG00000221826	Ceacam2	ENSMUSG00000054385
142		ENSG00000257341	Crip1	ENSMUSG00000006360
143	CLDN16	ENSG00000113946	Cldn16	ENSMUSG00000038148
144	PRL	ENSG00000172179	Prl3b1	ENSMUSG00000038891
145	HAND1	ENSG00000113196	Hand1	ENSMUSG00000037335
146	VN1R4	ENSG00000228567	Vmn1r69	ENSMUSG00000091662
147	ATP5S	ENSG00000125375	Atp5s	ENSMUSG00000054894
148	HIST1H4H	ENSG00000158406	Hist1h4f	ENSMUSG00000069274
149	RNASE4	ENSG00000258818	Rnase4	ENSMUSG00000021876
150	CEACAM1	ENSG00000079385	Ceacam2	ENSMUSG00000054385
151	PARM1	ENSG00000169116	Parm1	ENSMUSG00000034981
152	SDHAF4	ENSG00000154079	Sdhaf4	ENSMUSG00000026154
153	PRUNE2	ENSG00000106772	Prune2	ENSMUSG00000039126
154	C11orf88	ENSG00000183644	4833427G06Rik	ENSMUSG00000032057
155		ENSG00000267881	Ceacam2	ENSMUSG00000054385
156	CHN1	ENSG00000128656	Chn1	ENSMUSG00000056486
157	ACKR1	ENSG00000213088	Ackr1	ENSMUSG00000037872
158	BCKDHB	ENSG00000083123	Bckdhb	ENSMUSG00000032263
159	CCDC167	ENSG00000198937	Ccdc167	ENSMUSG00000024018
160	ACOT6	ENSG00000205669	Acot6	ENSMUSG00000043487
161	SERPINA7	ENSG00000123561	Serpina7	ENSMUSG00000031271
162	UBTFL1	ENSG00000255009	Ubtfl1	ENSMUSG00000074502
163	OR1E1	ENSG00000180016	Olfr23	ENSMUSG00000069816
164	PGLYRP4	ENSG00000163218	Pglyrp4	ENSMUSG00000042250
165	OR51F1	ENSG00000280021	Olfr583	ENSMUSG00000073960
166	GPR22	ENSG00000172209	Gpr22	ENSMUSG00000044067
167	REC8	ENSG00000100918	Rec8	ENSMUSG00000002324
168	ANG	ENSG00000214274	Ang	ENSMUSG00000072115
169	FAM171A1	ENSG00000148468	Fam171a1	ENSMUSG00000050530
170	BNIP3L	ENSG00000104765	Bnip3l	ENSMUSG00000022051
