HGNC_symbol	HGNC_ensembl_gene_id	MGI_symbol	MGI_ensembl_gene_id
1	OR1J4	ENSG00000239590	Olfr350	ENSMUSG00000050015
2	CHERP	ENSG00000085872	Cherp	ENSMUSG00000052488
3	SAT2	ENSG00000141504	Sat2	ENSMUSG00000069835
4	MCM4	ENSG00000104738	Mcm4	ENSMUSG00000022673
5	ZNF287	ENSG00000141040	Zfp287	ENSMUSG00000005267
6	TUBE1	ENSG00000074935	Tube1	ENSMUSG00000019845
7	QRFP	ENSG00000188710	Qrfp	ENSMUSG00000043102
8	TIMMDC1	ENSG00000113845	Timmdc1	ENSMUSG00000002846
9	KMT2B	ENSG00000272333	Kmt2b	ENSMUSG00000006307
10	RCE1	ENSG00000173653	Rce1	ENSMUSG00000024889
11	KLHL18	ENSG00000114648	Klhl18	ENSMUSG00000054792
12	FIBCD1	ENSG00000130720	Fibcd1	ENSMUSG00000026841
13	SIX2	ENSG00000170577	Six2	ENSMUSG00000024134
14	GML	ENSG00000104499	Gml2	ENSMUSG00000068600
15	TBCC	ENSG00000124659	Tbcc	ENSMUSG00000036430
16	ACP6	ENSG00000162836	Acp6	ENSMUSG00000028093
17	MLPH	ENSG00000115648	Mlph	ENSMUSG00000026303
18	RASGRF2	ENSG00000113319	Rasgrf2	ENSMUSG00000021708
19	GRIP2	ENSG00000144596	Grip2	ENSMUSG00000030098
20	CDKAL1	ENSG00000145996	Cdkal1	ENSMUSG00000006191
21	BTNL2	ENSG00000204290	Btnl2	ENSMUSG00000024340
22	FABP7	ENSG00000164434	Fabp7	ENSMUSG00000019874
23	RGS13	ENSG00000127074	Rgs13	ENSMUSG00000051079
24	COPS7B	ENSG00000144524	Cops7b	ENSMUSG00000026240
25	PRDX1	ENSG00000117450	Prdx1	ENSMUSG00000028691
26	SLITRK6	ENSG00000184564	Slitrk6	ENSMUSG00000045871
27	CLIP4	ENSG00000115295	Clip4	ENSMUSG00000024059
28	KIAA1614	ENSG00000135835	BC034090	ENSMUSG00000033722
29	PTCRA	ENSG00000171611	Ptcra	ENSMUSG00000036858
30	HNF4G	ENSG00000164749	Hnf4g	ENSMUSG00000017688
31	OR11H7	ENSG00000258806	Olfr746	ENSMUSG00000058188
32	PRKN	ENSG00000185345	Park2	ENSMUSG00000023826
33	ZSCAN4	ENSG00000180532	Zscan4b	ENSMUSG00000095339
34	CDH7	ENSG00000081138	Cdh7	ENSMUSG00000026312
35	CHORDC1	ENSG00000110172	Chordc1	ENSMUSG00000001774
36	C1QTNF5	ENSG00000223953	C1qtnf5	ENSMUSG00000079592
37	OR11H4	ENSG00000176198	Olfr747	ENSMUSG00000057179
38	YARS	ENSG00000134684	Yars	ENSMUSG00000028811
39	HTR2C	ENSG00000147246	Htr2c	ENSMUSG00000041380
40	CRB3	ENSG00000130545	Crb3	ENSMUSG00000044279
41	IDH1	ENSG00000138413	Idh1	ENSMUSG00000025950
42	DKK4	ENSG00000104371	Dkk4	ENSMUSG00000031535
43	OR52H1	ENSG00000181616	Olfr648	ENSMUSG00000042909
44	SFTPB	ENSG00000168878	Sftpb	ENSMUSG00000056370
